claude_record_id,doi,formulation_label,endpoint_time_h,endpoint_value,policy_v2,policy_v3,policy_v4,matched_gpt_record_id,gpt_in_round2_gold,gold_label_inherited,gold_endpoint_value_correct_inherited,needs_new_annotation,match_reason,gold_keep_record,gold_endpoint_value_correct,gold_endpoint_value_note,gold_notes,final_gold_keep_record,final_gold_endpoint_value_correct,gold_label_source
record_1781048540af,10.1248/cpb.c21-00033,#6,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_1a4b21f6917f,10.1248/cpb.c21-00033,#3,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_1bf5e1e73737,10.1208/s12249-013-9995-4,F7,72.0,387.9,yes,yes,yes,record_1bf5e1e73737,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_201abe3c58a1,10.1186/2050-6511-13-5,Ibuprofen – Control,6.0,23.4,no,yes,yes,,False,,,True,same_doi_formulation_time_no_value_match,no,no,"The endpoint value is wrong, the paper states 167.78 μg/cm²/h for Ibuprofen – Control.",The endpoint value was extracted wrong. The endpoint kind is Flux.,no,no,new_annotation
record_251f93e67bb6,10.1186/2050-6511-13-5,Ibuprofen – 300 μm microneedle,6.0,431.52,no,no,yes,,False,,,True,same_doi_no_formulation_match,yes,yes,,,yes,yes,new_annotation
record_3672e05a60e6,10.1208/s12249-013-9995-4,F2,48.0,580.2,yes,yes,yes,record_3672e05a60e6,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_3ec6644ba612,10.1208/s12249-013-9995-4,F1,72.0,1142.4,yes,yes,yes,record_3ec6644ba612,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_42659813bb90,10.1248/cpb.c21-00033,#9,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_453da10d1ec5,10.1208/s12249-013-9995-4,F1,48.0,536.5,yes,yes,yes,record_453da10d1ec5,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_59930f2888d3,10.1248/cpb.c21-00033,#0,8.0,10.0,no,yes,yes,,False,,,True,no_gpt_record_same_doi,no,no,"The endpoint value is in Figure 3(b), and there are 9 formulations, the range seems from 3 umol/cm^2 ~ 32 umol/cm^2.    ","the endpoint was located a wrong place, it should be Fig. 3b, and there are 9 different formulations in fig.",no,no,new_annotation
record_59963ee27e78,10.1208/s12249-013-9995-4,F4,24.0,132.3,yes,yes,yes,record_59963ee27e78,True,yes,yes,False,doi_formulation_time_value_match,,,,,yes,yes,inherited_gpt_round2
record_625975cc9b8d,10.1248/cpb.c21-00033,ibuprofen-suspended aqueous solution (Av=1),8.0,2.35,no,no,yes,,False,,,True,no_gpt_record_same_doi,yes,yes,,,yes,yes,new_annotation
